index, AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
2013,564021.0,4831586.0,2960459.0,6411717.0,38253768.0,3608736.0,3595792.0,651559.0,924062.0,19551678.0,9975592.0,1247668.0,3093935.0,1612053.0,12895778.0,6570575.0,2894306.0,4406906.0,4626040.0,6715158.0,5925197.0,1328543.0,9914802.0,5414722.0,6042989.0,2989839.0,1014158.0,9846717.0,723149.0,1865813.0,1327272.0,8857821.0,1988920.0,2776956.0,19626488.0,11579692.0,3853891.0,3924110.0,12779538.0,1055560.0,4766469.0,828621.0,6496943.0,26479646.0,2898773.0,4762500.0,626603.0,6966252.0,5692220.0,1854768.0,582620.0
2014,563182.0,4843737.0,2968759.0,6508288.0,38586706.0,3661788.0,3595697.0,663603.0,933131.0,19853880.0,10071204.0,1252130.0,3110643.0,1632248.0,12885092.0,6596019.0,2901861.0,4416992.0,4645938.0,6764864.0,5960064.0,1331217.0,9932033.0,5452665.0,6059130.0,2991892.0,1022657.0,9937295.0,738736.0,1879955.0,1334257.0,8867277.0,1987188.0,2818935.0,19653431.0,11606573.0,3879187.0,3965447.0,12792392.0,1056511.0,4826858.0,835453.0,6544617.0,26963092.0,2938327.0,4803286.0,625693.0,7057531.0,5707342.0,1850569.0,583159.0
2015,564309.0,4854803.0,2979732.0,6607147.0,38904296.0,3728825.0,3588561.0,677014.0,942065.0,20219111.0,10183353.0,1258918.0,3122541.0,1652495.0,12859585.0,6611442.0,2910717.0,4429126.0,4666998.0,6797484.0,5988528.0,1329098.0,9934483.0,5484002.0,6075411.0,2990231.0,1031495.0,10037218.0,755537.0,1892059.0,1337480.0,8870312.0,1987360.0,2868531.0,19657321.0,11622315.0,3910518.0,4018542.0,12789838.0,1056886.0,4896006.0,840299.0,6595354.0,27468531.0,2983626.0,4834836.0,625810.0,7167287.0,5717359.0,1843332.0,586389.0
2016,567983.0,4866824.0,2991815.0,6716935.0,39149186.0,3789599.0,3579830.0,687576.0,949989.0,20627237.0,10308442.0,1263201.0,3133210.0,1684036.0,12821709.0,6637898.0,2912977.0,4440306.0,4681346.0,6827280.0,6007014.0,1332348.0,9954117.0,5525360.0,6091384.0,2990595.0,1042137.0,10161802.0,756114.0,1906483.0,1343694.0,8873584.0,1989855.0,2919555.0,19636391.0,11640060.0,3928143.0,4093271.0,12788468.0,1057816.0,4963031.0,849267.0,6651277.0,27914064.0,3044241.0,4867596.0,624366.0,7299961.0,5729712.0,1832435.0,585243.0
2017,565878.0,4877989.0,3003855.0,6818107.0,39337785.0,3839733.0,3575324.0,697079.0,957942.0,20977089.0,10417031.0,1259211.0,3143734.0,1719745.0,12779893.0,6662068.0,2910892.0,4455590.0,4673673.0,6863560.0,6028186.0,1335743.0,9976752.0,5569283.0,6111382.0,2990674.0,1053862.0,10275758.0,756755.0,1916998.0,1350395.0,8888147.0,1989953.0,2972097.0,19593849.0,11665706.0,3933602.0,4147294.0,12794679.0,1056554.0,5027102.0,859340.0,6714748.0,28291024.0,3103540.0,4899853.0,625132.0,7427951.0,5747713.0,1818683.0,579994.0
2018,561553.0,4891628.0,3012161.0,6931953.0,39437463.0,3895414.0,3574561.0,704147.0,966985.0,21254926.0,10519389.0,1255631.0,3149900.0,1752074.0,12724685.0,6698481.0,2912748.0,4464273.0,4664450.0,6885720.0,6042153.0,1340123.0,9987286.0,5608762.0,6125986.0,2982879.0,1061818.0,10391358.0,760062.0,1925512.0,1355064.0,8891730.0,1990505.0,3030725.0,19544098.0,11680892.0,3943488.0,4183538.0,12809107.0,1059338.0,5091702.0,865062.0,6778180.0,28624564.0,3155153.0,4929008.0,624802.0,7526793.0,5763998.0,1805953.0,579054.0
2019,558256.0,4907965.0,3020985.0,7056404.0,39437610.0,3937771.0,3566022.0,708253.0,976668.0,21492056.0,10628020.0,1247846.0,3159596.0,1789060.0,12667017.0,6731010.0,2912635.0,4472345.0,4658285.0,6894883.0,6054954.0,1345770.0,9984795.0,5640053.0,6140475.0,2978227.0,1070123.0,10501384.0,763724.0,1932571.0,1360783.0,8891258.0,1996000.0,3090771.0,19463131.0,11696507.0,3960676.0,4216116.0,12798883.0,1058158.0,5157702.0,872956.0,6830325.0,28986794.0,3203383.0,4961302.0,624046.0,7614024.0,5779234.0,1795263.0,580116.0
2020,556141.0,4921532.0,3030522.0,7182097.0,39368078.0,3971163.0,3557006.0,712816.0,986809.0,21733312.0,10710017.0,1239017.0,3163561.0,1826913.0,12587530.0,6754953.0,2913805.0,4477251.0,4645318.0,6893574.0,6055802.0,1350141.0,9966555.0,5657342.0,6151548.0,2966786.0,1080577.0,10600823.0,765309.0,1937552.0,1366275.0,8882371.0,2002391.0,3138259.0,19336776.0,11693217.0,3980783.0,4241507.0,12783254.0,1057125.0,5218040.0,878647.0,6886834.0,29360759.0,3249879.0,4988213.0,623347.0,7693612.0,5787323.0,1784787.0,582328.0
